epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,888.684,0.44036,0.40029,0.93021,0.89516,0.88237,0.91222,0.81975,0.48674,0.614,0.91641,0.000455875,0.000455875,0.000455875
43,909.536,0.44132,0.38073,0.92649,0.89141,0.90486,0.94881,0.84897,0.51182,0.4635,0.93815,0.00045175,0.00045175,0.00045175
44,930.412,0.44177,0.37252,0.92771,0.91582,0.8936,0.93984,0.85573,0.46901,0.47848,0.92862,0.000447625,0.000447625,0.000447625
45,951.28,0.43482,0.37476,0.925,0.88012,0.91154,0.93857,0.84971,0.474,0.46354,0.93784,0.0004435,0.0004435,0.0004435
46,972.079,0.42555,0.36933,0.91514,0.86843,0.95178,0.95469,0.85951,0.49366,0.42532,0.93722,0.000439375,0.000439375,0.000439375
47,992.899,0.43278,0.36881,0.921,0.89485,0.88728,0.952,0.86409,0.48305,0.48096,0.92618,0.00043525,0.00043525,0.00043525
48,1014.14,0.42562,0.37121,0.91906,0.91242,0.88702,0.94173,0.85694,0.46739,0.51055,0.91703,0.000431125,0.000431125,0.000431125
49,1034.99,0.4279,0.36183,0.91816,0.89379,0.8916,0.94651,0.8626,0.4556,0.49657,0.90051,0.000427,0.000427,0.000427
50,1055.97,0.42768,0.36819,0.91919,0.89597,0.91076,0.95777,0.8815,0.46731,0.46393,0.92109,0.000422875,0.000422875,0.000422875
51,1076.97,0.41866,0.35702,0.91675,0.9101,0.90732,0.95462,0.86676,0.45093,0.44578,0.89319,0.00041875,0.00041875,0.00041875
52,1098.02,0.41747,0.33866,0.91598,0.90201,0.92494,0.96404,0.86954,0.48244,0.41649,0.92001,0.000414625,0.000414625,0.000414625
53,1118.99,0.40711,0.3373,0.91271,0.90784,0.88497,0.9533,0.86074,0.48412,0.46635,0.92239,0.0004105,0.0004105,0.0004105
54,1139.79,0.41214,0.34737,0.91534,0.88046,0.92461,0.93951,0.86618,0.43749,0.48173,0.8895,0.000406375,0.000406375,0.000406375
55,1160.64,0.41427,0.35529,0.91532,0.91018,0.91527,0.95782,0.87966,0.45849,0.41042,0.91629,0.00040225,0.00040225,0.00040225
56,1182.06,0.401,0.34115,0.91157,0.92187,0.8953,0.95165,0.8681,0.46947,0.46636,0.91788,0.000398125,0.000398125,0.000398125
57,1202.79,0.40075,0.33681,0.91307,0.91352,0.92076,0.9676,0.89462,0.43011,0.39586,0.89653,0.000394,0.000394,0.000394
58,1223.79,0.39415,0.32916,0.90423,0.92647,0.91117,0.94337,0.86299,0.45172,0.46817,0.90957,0.000389875,0.000389875,0.000389875
